course_code,course_title,points_r1_2021,points_r2_2021,eos_mid_2021,test/interview_2021,points_r1_2020,points_r2_2020,eos_mid_2020,test/interview_2020,eos_mid_2019,eos_2019
DC295,Arts (Joint Honours) - Politics,349,,409,,376,,409,,387 ,348 
DL701,Business - Applied Entrepreneurship,162,162,339,,AQA,AQA,359,,,
DL822,Arts Management,254,,356,,229,229,337,,319 ,209 
DL823,Business Management,220,,318,,235,,325,,316 ,260 
DL825,Applied Psychology,418,413,462,,379,,434,,413 ,349 
DL826,Graphic Design,591,,824,#,855,,1024,#,989 ,#736 
DL827,Art,574,,906,#,572,,941,#,902 ,#583 
DL832,Animation,989,,1098,#,920,,1022,#,1055 ,#855 
DL833,Photography and Visual Media,671,671,877,#,650,,854,#,791 ,#636 
DL836,Creative Computing,235,,339,,219,,300,,326 ,217 
DL837,New Media Studies,298,293,359,,201,,316,,349 ,290 
DL838,Creative Music Production,713,,979,#,754,,972,#,873 ,#746 
DL839,Interaction and User Experience Design,757,,1087,#,683,683,990,#,,
DL840,Digital Marketing,210,,347,,228,228,327,,,
DL841,English and Equality Studies,277,277,357,,276,,341,,,
DL843,Film,987,874,1000,#,,,,,,
DL844,Television,566,,947,#,,,,,,
DL845,Design for Film (degree options),628,,900,#,,,,,,
GC200,Business,269,242,377,,252,252,369,,359 ,269 
GC201,Accounting and Finance,260,226,270,,303,303,388,,388 ,251 
GC230,Computing Science,300,289,351,,335,325,393,,327 ,228 
GC250,Communications and Media Production,,,,,,,,,,
GC300,Business,264,264,377,,429,,432,,302 ,251 
GC301,Accounting and Finance,,251,251,,253,253,346,,314 ,307 
GC302,Business - HRM,377,377,377,,,,,,269 ,269 
GC307,Business (Marketing),289,270,289,,,,,,,
GC335,Computing,171,171,278,,217,195,235,,,
GC400,Business,250,228,318,,248,248,281,,297 ,246 
GC401,Accounting and Finance,242,242,337,,240,227,343,,309 ,181 
GC402,Business (HRM),,,0,,264,236,236,,290 ,217 
GC403,Law,245,242,319,,244,228,328,,308 ,225 
GC407,Business (Marketing),264,264,318,,280,280,321,,330 ,246 
GC410,Marketing,122,122,337,,145,,371,,,
GC411,Business,180,180,378,,135,135,370,,,
GC430,Computing Science,251,251,325,,252,220,298,,269 ,217 
GC435,Computing,108,108,349,,AQA,AQA,279,,,
GC450,Communications and Media Production,225,225,321,,254,254,280,,307 ,227 
GC460,Music Production for Games (portfolio),,,0,#,,,,#,,
GC462,Design Communication (portfolio),300,,300,#,,,,#,,
GC465,Communications,118,118,395,,AQA,,349,,,
GC466,Film and TV Production,121,121,418,,AQA,AQA,339,,,
GC470,Photographic Media,163,163,352,,169,169,279,,,
GC475,Photography,125,125,343,,150,150,348,,,
GC489,Interior Architecture (portfolio),288,274,429,#,254,,301,#,361 ,#267 
GC490,Interior Design,137,137,359,,117,117,360,,,
GC494,Fashion Design (portfolio),351,,588,#,337,217,412,#,,# 
GC495,Fashion,110,110,398,,129,129,349,,,
BY001,Business,210,210,323,,,,,,,
BY002,Business,347,171,347,,,,,,,
ID001,Accounting and Finance,,,0,,203,,253,,291 ,229 
ID002,Business Studies,,,340,,294,,309,,366 ,285 
AD101,"First Year Art and Design (Common Entry,portfolio)",554,,604,#,#+matric,,#+matric,#,ric 550 ,# +mat 
AD102,Graphic Design and Moving Image Design (portfolio),538,,625,#,#+matric,,#+matric,#,ric 635 ,# +mat 
AD103,Textile and Surface Design and Jewellery and Objects (portfolio),505,,581,#,#+matric,,#+matric,#,ric 545 ,# +mat 
AD202,"Education and Design or Fine Art (Second Level Teaching,portfolio))",591,,620,#,#+matric,,#+matric,#,ric 580 ,# +mat 
AD204,Fine Art (portfolio),514,,583,#,#+matric,,#+matric,#,ric 600 ,# +mat 
AD211,Fashion Design (portfolio),760,679,679,#,#+matric,,#+matric,#,ric 600 ,# +mat 
AD212,Product Design (portfolio),413,,569,#,#+matric,,#+matric,#,ric 600 ,# +mat 
AD215,Visual Culture,337,300,380,,377,320,389,,338 ,300 
AD217,Illustration (portfolio),738,,,#,#+matric,,#+matric,#,ric 625 ,# +mat 
AD222,Interaction Design (portfolio),444,,488,#,#+matric,,#+matric,#,ric 657 ,# +mat 
NC003,Computing (Degree Award options),271,,334,,260,,303,,316 ,261 
NC005,Human Resource Management,301,,360,,300,,331,,320 ,297 
NC009,Business,300,,371,,300,,346,,339 ,297 
NC010,Psychology,420,,465,,400,,440,,399 ,366 
NC020,Marketing Practice,270,,329,,280,,338,,307 ,270 
NC022,Accounting and Finance,330,,390,,337,,378,,376 ,338 
NC023,Technology Management (with specialisations),266,,356,,261,,282,,303 ,260 
NC030,Early Childhood Education and Care,251,251,308,,,,,,,
NC102,Computing,225,,366,,220,,342,,,
NC103,Business,252,,372,,250,,327,,,
NC104,Business Computing,242,,390,,243,,423,,,
RC001,Medicine - Undergraduate Entry (HPAT required),741,740,741,#,733,,738,#,733 ,#729 
RC004,Physiotherapy,589,589,589,,566,,567,,542 ,532* 
RC005,Pharmacy,613,613,613,,579,,589,,566 ,555 
RC101,Medicine - Graduate Entry (GAMSAT required),,,66,#,,,63,#,62 ,#60 
NM701,Montessori Education,137,137,387,,187,,407,,,
NM801,Montessori Education,262,,320,,220,,290,,,
NM802,Psychology,228,,338,,,,,,,
TU605,Electronic and Information Engineering,190,,339,,,,,,,
TU606,Mechanical Engineering (General Entry),192,,359,,,,,,,
TU641,Bar and Restaurant Management,243,,366,,223,,356,,,
TU642,Culinary Arts (Cuisine and Wellness),154,,330,,153,,244,,,
TU643,Culinary Arts (Professional Cookery Practice),242,,418,,236,,383,,,
TU644,Food Management and Entrepreneurship,250,,451,,223,,456,,,
TU645,Food Science and Management,251,,473,,241,,390,,,
TU651,Applied Biology,361,,474,,205,196,359,,,
TU652,Computing,240,,391,,194,,265,,,
TU654,Pharmacy Technician Studies,350,,452,,321,,420,,,
TU655,Computing (Networking Technologies) Learn and Work,502,,551,#,410,335,459,#,,
TU670,Business (campus options),224,,378,,,,,,,
