course_code,course_title,points_r1_2021,points_r2_2021,eos_mid_2021,test/interview_2021,points_r1_2020,points_r2_2020,eos_mid_2020,test/interview_2020,eos_mid_2019,eos_2019
TR913,Midwifery,521,,543,,478,477,508,,462 ,423 
DN100,Architecture,555,,577,,510,,541,,509 ,473 
DN120,Landscape Architecture,463,435,484,,407,,453,,403 ,353 
DN130,City Planning and Environmental Policy,445,424,474,,407,400,432,,421 ,367 
DN150,Engineering (Common Entry),565,,601,,531,521,565,,554 ,511 
DN200,Science (options),577,567,589,,533,,567,,554 ,521 
DN201,Computer Science (Common Entry),554,549,558,,510,,542,,509 ,488 
DN230,Actuarial and Financial Studies,613,613,625,,601,,613,,589 ,577 
DN240,Sustainability,510,,532,,440,,498,,,
DN250,Agricultural Science (options),454,444,489,,456,455,488,,462 ,420 
DN261,Food Science,531,,544,,477,,495,,467 ,434 
DN262,Human Nutrition,566,,577,,531,,553,,510 ,493 
DN300,Veterinary Medicine - Undergraduate Entry,601,,613,#,589,,602,#,589 ,#567 
DN301,Veterinary Medicine - Graduate Entry (GAMSAT required),#,,,#,,,,#,,# 
DN310,Veterinary Nursing,521,509,522,,478,477,489,,487 ,441 
DN400,Medicine - Undergraduate Entry (HPAT required),743,,751,#,737,736,748,#,745 ,#735 
DN401,Medicine - Graduate Entry (GAMSAT required),61,,63,#,,,61,#,61 ,#59* 
DN410,Radiography,566,566,578,,534,532,543,,522 ,507 
DN411,Radiography - Graduate Entry,#,,,,,,,#,,# 
DN420,Physiotherapy,601,601,613,,578,577,589,,555 ,542 
DN425,Health and Performance Science,544,543,555,,510,509,521,,509 ,488 
DN430,Sport and Exercise Management,484,476,499,,455,445,455,,455 ,436 
DN440,"Biomedical, Health and Life Sciences",613,613,618,,590,589,601,,579 ,565* 
DN450,General Nursing,462,,490,,429,424,445,,420 ,398 
DN451,Children`s and General Nursing (Integrated),533,,554,,509,506,529,,499 ,462* 
DN452,Midwifery,510,509,511,,489,476,499,,452 ,409 
DN453,Mental Health Nursing,442,,451,,397,393,412,,403 ,379 
DN520,Joint Honours (options),381,378,445,,310,,409,,408 ,336 
DN530,Humanities (options),397,388,465,,340,336,419,,411 ,348 
DN541,Modern Languages (options),320,,423,,303,,443,,412 ,348 
DN600,Law (options),576,567,588,,546,544,566,,532 ,520* 
DN610,Business and Law,573,567,589,,545,,577,,543 ,521 
DN650,Commerce,555,,567,,521,521,543,,510 ,498* 
DN660,Commerce International (options),555,554,567,,517,511,531,,531 ,507 
DN670,Economics and Finance,625,625,625,,613,,625,,601 ,601 
DN700,Social Sciences (options),475,474,509,,421,419,466,,441 ,388 
DN710,Economics,534,532,544,,498,498,510,,488 ,476 
DN720,Psychology,566,564,577,,530,522,543,,531 ,517 
DN750,Social Policy and Sociology,421,,441,,378,,408,,366 ,330 
DK710,Business and Management,120,120,409,,120,120,352,,,
DK711,Business and Technology,140,140,395,,191,,327,,,
DK712,Digital Marketing and Public Relations,206,195,397,,100,100,349,,,
DK721,Computing,120,120,368,,106,106,326,,,
DK722,Augmented and Virtual Reality,207,207,331,,144,144,348,,,
DK730,Building Surveying,243,204,399,,165,,330,,,
DK731,Architectural Technology,253,210,414,,332,,392,,,
DK732,Construction Management,243,229,368,,120,,321,,,
DK740,Engineering - Electrical and Electronic Systems,163,163,329,,179,179,339,,,
DK742,Engineering - Mechanical Engineering,166,166,344,,166,166,312,,,
DK744,Engineering - Civil Engineering,165,165,399,,190,157,341,,,
DK750,Hospitality Management,223,157,347,,176,176,279,,,
DK752,Event Management,224,211,369,,175,175,347,,,
DK753,Culinary Arts,192,192,356,,182,182,387,,,
DK763,"Sport, Exercise and Enterprise",205,165,350,,233,,329,,,
DK767,Community Youth Work (interview),240,240,320,#,240,240,330,#,,
DK768,Audio and Music Production,329,285,408,,261,,361,,,
DK769,Creative Media,265,209,420,,165,165,318,,,
DK770,Theatre and Film Practice,140,140,410,,190,190,388,,,
DK771,Musical Theatre (audition),,,0,#,,,,#,,
DK781,Science - Bioscience,376,,485,,358,328,381,,,
DK783,Science - Pharmaceutical Science,346,,409,,349,317,362,,,
DK784,Veterinary Nursing,451,430,462,,399,,445,,,
DK810,Accounting and Finance,307,307,399,,305,305,401,,391 ,306 
DK816,Business Studies,301,301,382,,300,300,367,,357 ,300 
DK820,Computing in Games Development,309,309,381,,311,311,348,,369 ,307 
DK821,Computing in Software Development,320,316,379,,302,302,361,,347 ,301 
DK822,Augmented and Virtual Reality,320,320,340,,307,,380,,,
DK830,Building Surveying,305,,378,,336,,352,,349 ,302 
DK831,Architectural Technology,368,314,377,,389,,433,,366 ,301 
DK832,Construction Management,358,305,362,,387,,419,,329 ,300 
DK843,Engineering (Common Entry),404,391,466,,340,340,439,,402 ,303 
DK844,Mechanical Engineering,336,336,435,,305,305,448,,,
DK845,Electrical and Electronic Engineering,331,331,434,,304,304,392,,,
DK846,Civil Engineering,371,371,465,,391,361,392,,,
DK850,International Tourism Management,303,303,417,,317,317,377,,,
DK861,Arts,302,302,347,,302,302,363,,358 ,300 
DK862,Social Care,322,319,348,,301,,347,,338 ,300 
DK863,Creative Media,336,320,432,,308,308,337,,376 ,300 
DK864,Film and Television Production,308,,399,,300,300,402,,332 ,300 
DK865,Audio and Music Production,352,,404,,301,,367,,346 ,301 
DK870,General Nursing,440,440,451,,403,401,419,,401 ,392 
DK872,Intellectual Disability Nursing,367,366,368,,336,,358,,317 ,300 
DK874,Mental Health Nursing,398,,414,,356,,379,,378 ,356 
DK876,Early Childhood Studies,300,300,357,,321,,388,,359 ,305 
DK877,Midwifery,482,477,495,,440,,470,,441 ,398* 
DK880,Health and Physical Activity,301,301,397,,328,,389,,367 ,300 
DK882,Agriculture (Award options),342,,402,,310,,380,,358 ,303 
DK883,Science (Award options),373,368,384,,358,321,370,,369 ,300 
DK884,Sustainable Agriculture,348,,397,,,,,,,
DK885,Agri-Food Production,,,0,,,,,,,
DK886,Biopharmaceutical Science,379,,388,,301,,338,,,
DK887,Environmental Science,377,,440,,330,,589,,,
GA160,Business (Level 6),168,168,298,,163,163,278,,,
GA170,Business (Level 7),252,,454,,250,,420,,,
GA171,Business Information Systems,253,,402,,250,,367,,,
GA172,Rural Enterprise and Agri-Business,278,,388,,277,,382,,,
GA174,Marketing and Sales,278,,397,,281,,377,,,
GA175,Finance,318,,499,,278,,467,,,
GA176,Business with Entrepreneurship,278,,442,,278,,411,,,
GA181,Accounting,303,,400,,309,,403,,378 ,303 
GA182,Business,285,,369,,287,,347,,347 ,290 
GA183,Business Information Systems,298,,358,,296,,356,,373 ,309 
GA184,Marketing and Sales,300,,368,,307,,357,,348 ,307 
GA185,Finance and Economics,318,,378,,293,,392,,398 ,307 
GA186,Business with Entrepreneurship,287,,346,,280,,356,,328 ,297 
GA187,Rural Enterprise and Agri-Business,291,,358,,281,,352,,367 ,280 
GA272,Heritage Studies,174,174,368,,188,188,363,,,
GA273,Contemporary Art (portfolio),775,,900,#,702,,892,#,,
GA274,Design,271,,402,,251,,378,,,
GA281,Film and Documentary,310,301,358,,304,,379,,360 ,287 
GA282,Heritage Studies,252,,343,,220,,281,,308 ,238 
GA283,Contemporary Art (portfolio),790,,876,#,679,,870,#,340 ,260 
GA284,Design,331,,398,,303,,356,,377 ,309 
GA285,"Education (Art, Design and Graphics)",406,,442,,,,,,,
GA360,Business in Tourism,171,,376,,172,172,260,,,
GA361,Culinary Arts,181,,388,,193,,375,,,
GA362,Hotel and Hospitality Operations,162,162,265,,240,228,330,,,
GA364,Heritage Studies,252,252,451,,252,252,369,,,
GA370,Hotel and Catering Management,163,163,359,,198,,362,,,
GA376,Event Management with Public Relations,216,,408,,206,187,348,,,
GA377,International Tourism Management,180,180,376,,172,,360,,,
GA378,Culinary and Gastronomic Science,200,160,350,,219,,432,,,
GA380,International Hotel Management,218,,320,,242,,330,,289 ,225 
GA381,International Tourism Management,252,,317,,278,,350,,290 ,261 
GA382,Culinary and Gastronomic Science,235,,375,,206,,337,,316 ,225 
GA384,Event Management with Public Relations,230,,340,,212,,328,,289 ,209 
GA470,Construction Management,246,,362,,244,243,349,,,
GA471,Quantity Surveying and Construction Economics,234,,392,,200,,347,,,
GA472,Architectural Technology,260,,466,,226,,367,,,
GA473,Civil Engineering,304,,434,,241,,432,,,
GA480,Construction Management,302,,359,,260,,336,,312 ,260 
GA482,Quantity Surveying and Construction Economics,304,,388,,288,,350,,340 ,280 
GA483,Architectural Technology,281,273,361,,265,,337,,321 ,251 
GA484,Civil Engineering,377,,421,,290,,383,,362 ,270 
GA570,Software and Electronic Engineering,225,,400,,224,,399,,,
GA580,Software and Electronic Engineering,300,,388,,300,,393,,351 ,301 
GA670,Mechanical Engineering,294,,431,,265,,413,,,
GA673,Energy Engineering,279,,359,,260,,452,,,
GA674,Biomedical Engineering,308,,520,,298,,455,,,
GA675,Agricultural Engineering,290,,420,,298,,386,,,
GA676,Engineering (Common Entry to Manu/Agri/Biomed/Energy/Mech Eng),304,,498,,290,,465,,,
GA677,Manufacturing Engineering Design,308,,378,,235,,379,,,
GA680,Mechanical Engineering,400,,455,,330,,401,,389 ,336 
GA681,Energy Engineering,312,,392,,293,,366,,328 ,281 
GA682,Biomedical Engineering,331,,413,,313,,393,,383 ,331 
GA683,Agricultural Engineering,304,,390,,309,,385,,365 ,301 
GA684,Engineering Common Entry to Manu/Agri/Biomed/Energy/Mech Eng,413,,456,,340,,405,,406 ,346 
GA685,Manufacturing Engineering Design,336,,377,,309,,379,,,
GA770,Applied Freshwater and Marine Biology,303,,429,,280,,388,,,
GA771,Applied Biology and Biopharmaceutical Science,302,,484,,280,,465,,,
GA772,Chemical and Pharmaceutical Science,310,,499,,280,,487,,,
GA773,Physics and Instrumentation,302,,465,,299,,521,,,
GA774,Science (Undenominated),302,,496,,289,,490,,,
GA775,Computing in Software Development,280,,391,,260,,356,,,
GA776,Computing and Digital Media,244,,352,,241,,381,,,
GA777,Agriculture and Environmental Management,281,,385,,281,,393,,,
GA780,Applied Freshwater and Marine Biology,366,,435,,327,,377,,360 ,300 
GA781,Applied Biology and Biopharmaceutical Science,381,,442,,337,,390,,376 ,317 
GA782,Chemical and Pharmaceutical Science,356,,398,,336,,388,,346 ,307 
GA783,Physics and Instrumentation,301,,387,,363,,408,,378 ,373 
GA784,Science (Undenominated),445,,466,,372,,403,,377 ,327 
GA785,Medical Science,517,510,532,,473,,500,,486 ,451 
GA786,Forensic Science and Analysis,408,408,462,,317,,387,,366 ,300 
GA787,Computing in Software Development,310,,381,,270,,315,,327 ,275 
GA788,Computing and Digital Media,270,,314,,274,,356,,327 ,270 
GA789,Agriculture and Environmental Management,340,,392,,287,,371,,339 ,297 
GA790,Sport and Exercise Science,376,366,431,,356,,409,,379 ,350 
GA791,Public Health Nutrition,368,,431,,368,,409,,397 ,364 
GA862,History and Geography,195,195,420,,178,,382,,,
GA864,Early Childhood Education and Care,170,170,338,,214,204,357,,,
GA870,Outdoor Education and Leisure,166,166,407,,182,171,399,,,
GA871,Early Childhood Education and Care,196,,423,,190,,367,,,
GA872,Culture and Environment,201,,246,,196,,328,,,
GA876,Community Development and Youth Work (Level 7),,,0,,,,,,,
GA879,Applied Social Care,241,,387,,244,,337,,,
GA880,General Nursing,440,,455,,429,422,441,,400 ,389* 
GA882,Psychiatric Nursing,369,,398,,367,,377,,370 ,346 
GA885,Outdoor Education,269,,360,,252,,262,,298 ,210 
GA887,History and Geography,201,,288,,244,,380,,296 ,228 
GA889,Applied Social Care,265,,339,,266,,298,,297 ,260 
GA890,Early Childhood Education and Care,281,227,336,,270,,327,,319 ,278 
GA891,Geography and Outdoor Education,261,,366,,244,,391,,,
GA892,Community Development and Youth Work (Level 8),,,0,,,,,,,
GA970,Furniture Design and Manufacture,302,,360,,,,,,,
GA971,Furniture Making and Architectural Woodworking,369,,434,,,,,,,
GA973,Furniture and Digital Manufacturing,,,0,,,,,,,
GA974,"Furniture Design, Making and Technology - Common Entry",422,,464,,214,,388,,,
GA980,Education (Design Graphics and Construction),410,,435,,377,,411,,389 ,376 
GA981,Furniture Design and Manufacture,346,,385,,,,,,350 ,271 
GA982,Furniture Making and Architectural Woodworking,360,,402,,,,,,352 ,270 
GA983,Furniture and Digital Manufacturing,,,0,,,,,,,
GA984,"Furniture Design, Making and Technology - Common Entry",486,467,498,,284,,369,,,
GY101,Arts (Joint-Honours),327,326,423,,300,,391,,374 ,300 
GY104,BSc (Psychology),564,555,566,,523,520,542,,529 ,507 
GY105,Arts (History),357,,424,,301,,377,,358 ,318 
GY109,Arts (Mathematics and Education),413,,487,,403,,466,,487 ,411 
GY110,Arts (Children and Youth Studies - options),387,,440,,357,,418,,409 ,382 
GY111,Arts (English and Creative Writing),421,420,518,,330,,492,,472 ,402 
GY113,Arts with Human Rights,413,,477,,368,,422,,409 ,338 
GY115,Arts with Performing Arts Studies,300,,393,,387,,443,,367 ,328 
GY118,"Arts (Drama, Theatre and Performance Studies)",453,430,476,,451,,492,,451 ,410 
GY119,Arts (Journalism),484,473,521,,400,,465,,475 ,410 
GY122,Na Dána (Cumarsáid agus Gaeilge),410,,496,,361,,453,,399 ,308 
GY123,Applied Social Sciences,419,,451,,358,,410,,388 ,357 
GY125,Arts (Digital Arts and Technology),403,,444,,328,,347,,379 ,324 
GY127,Arts (Film and Digital Media),430,421,488,,401,,462,,435 ,387 
GY128,Arts (Global Languages),346,,468,,352,,476,,440 ,370 
GY129,Arts (Global Experience),465,,522,,420,,462,,477 ,408 
GY130,Arts (Music),462,,498,,408,,495,,444 ,400 
GY132,"Government (Politics, Economics and Law)",465,451,495,,407,,435,,444 ,402 
GY133,Education (Computer Science and Mathematical Studies),454,,476,,422,,498,,466 ,401 
GY134,Geography and Geosystems,425,,476,,410,,445,,,
GY135,Arts (Global Media),442,,484,,,,,,,
GY136,Na Dána (Léann Teanga - options),526,,526,,,,,,,
GY201,Commerce,476,,499,,433,,466,,453 ,420 
GY202,Commerce (International) with French,520,,548,,484,,511,,513 ,484 
GY203,Commerce (International) with German,518,,532,,489,,566,,541 ,489 
GY204,Commerce (International) with Spanish,506,,531,,495,,511,,500 ,484 
GY206,Business Information Systems (Work Placement and Optional Int`l Study),509,,544,,465,,488,,445 ,431 
GY207,Commerce (Accounting) including optional Global Experience year,543,,578,,509,,543,,510 ,486 
GY208,Commerce (Gaeilge),508,,547,,473,,511,,488 ,473 
GY209,Commerce (Global Experience),551,,578,,530,,554,,531 ,509 
GY250,Law and Business,510,,541,,487,,510,,467 ,436 
GY251,Law (BCL),542,,554,,499,,518,,498 ,473 
GY252,Law (BCL) and Human Rights,565,,567,,520,,541,,521 ,510 
GY253,Law and Taxation,506,,531,,509,,543,,,
GY254,"Law (BCL), Criminology and Criminal Justice",548,,566,,530,,554,,,
GY261,Business Studies in International Hotel Management (interview),503,,647,#,497,,611,#,615 ,#486 
GY262,Commerce in International Hotel Management (interview),709,,743,#,681,,724,#,726 ,#671 
GY301,Science,489,488,529,,433,432,487,,456 ,400 
GY303,Biomedical Science,613,,613,,556,,589,,566 ,533 
GY304,Biotechnology,498,495,522,,465,,498,,507 ,473 
GY308,Environmental Science,431,430,473,,408,,484,,440 ,413 
GY309,Financial Mathematics and Economics,509,,565,,487,,532,,498 ,454 
GY310,Marine Science,467,,499,,419,,476,,456 ,409 
GY313,Environmental Health and Safety,412,,452,,412,,440,,435 ,402 
GY314,Earth and Ocean Sciences,422,,463,,403,,444,,425 ,402 
GY318,Biopharmaceutical Chemistry,555,,581,,509,,542,,532 ,510 
GY319,Mathematical Science,543,,589,,476,,566,,531 ,456 
GY320,"Physics (Degree options: Applied,Astrophysics,Biomedical,Theoretical)",465,,533,,402,,478,,487 ,401 
GY321,Genetics and Genomics,532,,565,,508,,532,,,
GY322,Agricultural Sciences,485,,518,,,,,,,
GY350,Computer Science and Information Technology,495,,521,,403,,454,,466 ,425 
GY401,Engineering (Undenominated),522,520,555,,465,,511,,499 ,444 
GY402,Civil Engineering,533,521,545,,455,,499,,543 ,509 
GY405,Mechanical Engineering,541,,589,,454,,509,,499 ,443 
GY406,Electronic and Computer Engineering,555,,566,,510,,544,,547 ,509 
GY408,Biomedical Engineering,554,,578,,509,,554,,543 ,519 
GY410,Project and Construction Management,431,,455,,403,,456,,464 ,434 
GY413,Energy Systems Engineering,509,,543,,502,,531,,589 ,532 
GY414,Electrical and Electronic Engineering,433,,476,,405,,429,,487 ,454 
GY501,"Medicine (five year/six year course, HPAT required)",737,737,740,#,728,,731,#,731 ,#726* 
GY502,Occupational Therapy,601,,602,,555,,567,,543 ,532 
GY503,Speech and Language Therapy,578,,590,,543,,554,,543 ,529 
GY504,Podiatric Medicine,531,526,533,,443,,476,,463 ,434 
GY515,General Nursing (Galway and Portiuncula),502,496,507,,476,473,496,,466 ,442 
GY516,Mental Health Nursing,475,441,451,,440,,467,,413 ,388 
GY517,Midwifery,520,509,532,,495,,518,,468 ,429 
GB001,Business,,,429,,,,415,,,
LY107,Business - Common Entry,189,189,399,,161,161,358,,,
LY108,Business - Accounting,312,,432,,309,,431,,399 ,318 
LY118,Business,288,,387,,290,,377,,352 ,287 
LY128,Marketing with Online Technologies,261,261,369,,,,,,,
LY206,Sports Studies,147,126,350,,149,148,299,,,
LY207,Law with Criminal Justice,161,161,408,,160,160,377,,,
LY208,Law,300,290,388,,300,,367,,359 ,300 
LY228,Sports and Exercise - Common Entry,290,,379,,300,,367,,330 ,278 
LY317,Culinary Arts,205,186,317,,229,224,387,,,
LY327,Hospitality And Tourism - Common Entry,180,178,313,,170,170,317,,,
LY408,Design - Common Entry,301,,380,#,320,,381,#,368 ,#307 
LY427,Digital Film and Video,217,217,378,,172,170,307,,,
LY437,Animation,183,,419,#,198,223,387,#,,
LY447,Fashion with Promotion,189,,370,#,266,279,384,#,,
LY457,Graphic and Digital Design,188,188,444,#,179,204,356,#,,
LY507,Quantity Surveying,204,163,326,,181,181,312,,,
LY508,Fire Safety Engineering,283,,352,,276,,326,,299 ,270 
LY518,Quantity Surveying,304,,387,,301,,368,,368 ,307 
LY527,Civil Engineering,164,164,344,,165,163,329,,,
LY528,Construction Management,262,,298,,271,,321,,291 ,267 
LY538,Architectural Technology,234,234,403,,,,,,,
LY606,Electric Vehicle Engineering,216,149,353,,,,,,,
LY607,Electronic Engineering,198,198,433,,160,,389,,,
LY608,Mechanical Engineering,300,,390,,300,,379,,333 ,304 
LY617,Mechanical Engineering,163,163,360,,180,180,328,,,
LY618,Electronic Engineering,321,,368,,312,,402,,339 ,307 
LY707,Computer Games Development,206,,342,,204,,299,,,
LY708,Applied Computing,320,,430,,306,,372,,348 ,300 
LY717,Computing,180,160,371,,164,160,350,,,
LY737,Computer Security and Digital Forensics,161,161,348,,169,169,348,,,
LY748,Computer Science,316,,421,,317,317,420,,,
LY806,Pharmacy Technician,172,172,429,,232,,377,,,
LY816,Dental Nursing,180,,327,,233,223,326,,,
LY817,Bioscience,250,,393,,248,,420,,,
LY818,Science - Common Entry,302,,411,,303,,409,,371 ,302 
LY826,Health Science with Physiotherapy Studies,487,476,532,,456,401,445,,,
LY828,Agriculture - Common Entry,308,300,360,,307,,351,,342 ,300 
LY836,Health Science with Occupational Therapy Studies,451,433,507,,473,408,451,,,
LY837,Food Science and Nutrition,215,215,430,,194,194,388,,,
LY846,Health Science with Dietetics Studies,336,264,485,,316,316,462,,,
LY847,Veterinary Nursing,389,,431,,367,367,399,,,
LY867,Pharmaceutical and Medicinal Science,179,170,429,,163,163,310,,,
LY877,Agriculture,200,,346,,202,181,327,,,
LY906,"Early Childhood Care, Health and Education",154,,382,,205,161,356,,,
LY908,General Nursing,429,,441,,400,,423,,390 ,383 
LY916,Health and Social Care,195,180,337,,181,,336,,,
LY918,Psychiatric Nursing,367,,399,,357,,387,,332 ,291* 
LY928,Intellectual Disability Nursing,357,,386,,326,,346,,299 ,288 
LY968,"Early Childhood Care, Health and Education",288,,380,,303,,361,,336 ,300 
LY978,Health and Social Care - Common Entry,279,,347,,280,,330,,299 ,260 
MI001,Contemporary and Applied Theatre Studies,209,,484,,375,,412,,381 ,345 
MI002,Arts,280,,408,,300,281,389,,378 ,300 
MI004,Education - Primary Teaching - International,589,,601,,577,,589,,,
MI005,Education - Primary Teaching,522,,554,,495,,521,,506 ,473* 
MI006,Education - Primary Teaching - Gaeltacht Applicants,485,,522,#,456,,519,#,473 ,#442 
MI007,Early Childhood Care and Education,409,,462,,357,,409,,402 ,366 
MI008,Education and Psychology - Primary Teaching,590,,602,,588,,601,,555 ,543 
MI009,"Education, Business Studies and Accounting",434,,477,,402,,455,,420 ,392 
MI010,"Education, Business Studies and Religious Studies",370,,412,,368,,389,,355 ,326 
MI011,"Education, Gaeilge and Religious Studies",407,,444,,409,,451,,387 ,377 
MI012,"Education, Gaeilge and Business Studies",387,,451,,401,,463,,440 ,398 
MI013,"Education, Mathematics and Gaeilge",509,,543,,444,,477,,465 ,433 
MI014,"Education, Mathematics and Business Studies",476,,531,,434,,487,,,
CI110,Counselling and Psychotherapy,292,,368,,310,,392,,,
CI111,Counselling and Psychotherapy with Addiction Studies,290,,356,,301,,319,,,
CI112,Counselling and Psychotherapy with Youth Studies,325,,388,,311,,311,,,
LC110,"Art and Design (Common Entry, portfolio)",794,,981,#,740,,961,#,918 ,#734 
LC114,Fashion and Textiles for Product and Costume (portfolio),914,,933,#,880,,1029,#,988 ,#900 
LC115,"Art and Design Teacher Education (LIT and UL, portfolio)",993,,1058,#,942,,1013,#,,
LC220,Digital Marketing,263,,322,,262,,298,,288 ,254 
LC221,Accounting and Finance,243,,507,,241,,489,,,
LC222,Marketing and Management,259,,430,,270,,405,,,
LC223,Law and Taxation,331,,410,,307,,356,,372 ,308 
LC224,Accounting and Finance,300,,356,,300,,371,,382 ,299 
LC225,Marketing and Management,298,,376,,298,,358,,337 ,298 
LC226,Enterprise and Innovation,255,,327,,234,234,310,,298 ,216 
LC228,Sports Development and Coaching,214,,336,,205,,341,,,
LC230,Business with Computing,241,224,418,,217,,386,,,
LC233,Software Development,280,,348,,272,,339,,371 ,300 
LC234,Immersive Digital Media and Spatial Computing,226,,342,,225,,307,,288 ,219 
LC235,Internet Systems Development,207,,360,,205,,315,,,
LC236,Internet Systems Development,260,,305,,262,260,272,,319 ,298 
LC239,Computer Networks and Systems Management,317,,378,,307,,371,,347 ,335 
LC241,Construction Management,326,,387,,255,,338,,303 ,276 
LC242,Property Valuation and Management,308,,377,,282,,320,,328 ,292 
LC243,Quantity Surveying,278,,359,,294,,362,,360 ,281 
LC248,Built Environment (Common Entry),300,,357,,288,,376,,350 ,307 
LC251,Civil Engineering,205,,387,,206,,377,,,
LC252,Civil Engineering Management,264,,338,,270,,308,,331 ,281 
LC260,Applied Biology,338,,499,,326,,466,,,
LC263,Medical Technology,391,,455,,294,,359,,359 ,282 
LC265,Forensic and Pharmaceutical Sciences,498,,528,,413,,476,,368 ,335 
LC266,Drug and Medicinal Product Analysis,252,,368,,262,,300,,299 ,236 
LC267,Forensic and Pharmaceutical Sciences,400,,498,,329,,443,,,
LC268,Medical Technology,384,,484,,289,,411,,,
LC270,Music Technology and Production,354,,467,,307,,398,,,
LC271,Electrical Engineering,329,316,383,,261,,348,,,
LC275,Electrical Engineering,361,347,382,,298,,384,,340 ,288 
LC276,Creative Broadcast and Film Production,310,300,422,,297,,409,,,
LC277,Industrial Automation and Robotic Systems,261,,424,,232,,342,,,
LC278,Renewable and Electrical Energy Engineering,306,283,390,,280,,387,,,
LC279,Electronic Engineering with Computer Systems,242,,423,,214,,392,,,
LC281,Automobile Technology,277,,318,,208,,332,,,
LC283,Precision Engineering,207,,378,,227,,296,,,
LC284,"Agricultural Mechanisation at Salesian Agricultural College,Pallaskenry",192,,337,,200,,315,,,
LC285,Mechanical Engineering,299,292,444,,272,,455,,,
LC286,Road Transport Technology and Management,294,,360,,264,,360,,,
LC288,Mechanical Engineering,378,369,432,,347,346,415,,360 ,307 
LC289,Precision Engineering,261,,357,,291,,350,,369 ,280 
LC290,Sports Development Performance,208,,356,,188,,312,,,
LC292,Social Care Work,374,,410,,367,,389,,389 ,360 
LC293,Business Studies with Travel and Tourism Management,271,264,356,,307,,356,,326 ,299 
LC294,Business Studies with Event Management,279,,356,,279,,347,,300 ,271 
LC295,Business Studies with Sports Management,262,,320,,252,,313,,298 ,263 
LC297,Community and Addiction Studies,272,262,316,,235,,298,,269 ,217 
LC320,Business,381,,408,,346,,388,,378 ,337 
LC322,Enterprise and Innovation,228,,422,,,,,,,
LC330,Business with Computing,328,308,367,,297,,378,,326 ,298 
LC336,Computing,219,,378,,207,,337,,,
LC340,Interior Design,391,368,420,,350,,391,,349 ,298 
LC362,Biotechnology and Biopharmaceutical Sciences,429,,463,,413,,440,,402 ,379 
LC371,Creative Broadcast and Film Production,325,310,387,,309,,378,,339 ,298 
LC372,Music Technology and Production,377,,454,,325,,402,,369 ,321 
LC374,Renewable and Electrical Energy Engineering,337,319,401,,318,,410,,368 ,317 
LC375,Industrial Automation and Robotic Systems,309,,383,,317,,392,,368 ,321 
LC376,Electronic Engineering with Computer Systems,357,,378,,318,,358,,346 ,308 
LC380,Automotive Engineering and Transport Management,298,,340,,303,298,337,,329 ,282 
LC392,Business Studies in Beauty and Spa Management,328,317,358,,236,,328,,318 ,217 
LC393,Early Childhood Education and Care,309,276,339,,236,,307,,309 ,260 
LC396,Beauty and Spa Services,319,309,387,,,,,,,
LC397,Business Studies with Sports,233,,418,,,,,,,
LC398,Culinary Arts,215,,433,,163,,376,,,
LC399,Hospitality Supervision,137,,309,,148,,300,,,
LC402,Social Care Work,228,,306,,225,,288,,290 ,209 
LC408,Environmental Science and Climate,279,,347,,279,,348,,346 ,262 
LC415,Business,172,,409,,197,,444,,,
LC416,Business,260,,300,,274,,391,,,
LC418,Computing - Games Design and Development,260,256,320,,270,,338,,318 ,271 
LC422,Applied Strength and Conditioning,289,,359,,298,,347,,333 ,288 
LC423,Applied Strength and Conditioning,145,,358,,157,,330,,,
LC425,Environmental Science,229,,409,,278,,399,,,
LC502,Game Art and Design (portfolio),841,,1018,#,852,,1024,#,950 ,#838 
LC504,Creative Media and Design,155,,412,,192,,378,,,
LC517,Creative Media and Design,279,,413,,234,,327,,273 ,229 
LC518,Digital Animation Production (portfolio),807,,977,#,808,,939,#,962 ,#816 
LC602,Social Care Work,251,,356,,260,,370,,,
LC612,Social Care Work,309,,348,,320,,343,,338 ,319 
LM002,Arts,360,360,423,,348,,410,,388 ,329 
LM019,Social Sciences,451,,507,,,,,,,
LM020,Law and Accounting,474,,520,,465,,499,,476 ,436 
LM026,Performing Arts (audition format TBC),329,,451,#,303,,401,#,367 ,#307 
LM028,Criminal Justice,420,,454,,418,,440,,409 ,387 
LM029,Law Plus,530,,554,,490,,521,,499 ,473 
LM038,Psychology and Sociology,530,,533,,500,,507,,489 ,478 
LM039,Journalism and Digital Communication,432,,473,,402,,455,,430 ,388 
LM040,European Studies,409,,521,,369,,488,,462 ,350 
LM044,Applied Languages,429,,485,,442,,499,,473 ,404 
LM050,Business Studies (options),451,,489,,431,,476,,455 ,419 
LM056,International Business,555,,589,,528,,555,,543 ,511 
LM058,Financial Mathematics,468,,531,,403,,521,,543 ,434 
LM063,Technology Management,410,,452,,379,,419,,409 ,372 
LM066,Environmental Science,430,,478,,,,,,,
LM068,Food Science and Health,464,,495,,421,,454,,430 ,400 
LM076,Product Design and Technology (portfolio required),401,,499,#,408,,487,#,466 ,#402 
LM077,Aeronautical Engineering,567,,601,,520,,554,,531 ,469 
LM082,Construction Management and Engineering,446,,480,,398,,434,,404 ,368 
LM089,Sport and Exercise Sciences,498,,533,,474,,489,,466 ,441 
LM090,Physical Education with concurrent Teacher Education,552,544,577,,532,,565,,520 ,498* 
