,course_code,course_title,points_r1_2021,points_r2_2021,eos_mid_2021,test/interview_2021
152,CK406,Chemical Sciences                                 ,532,,554,
153,CK407,Mathematical Sciences                             ,566,,601,
154,CK408,Physics and Astrophysics                          ,566,,601,
155,CK409,Industrial Physics - Offered jointly by UCC and CI,465,,509,
156,CK411,Data Science and Analytics                        ,531,,577,
157,CK412,Agricultural Science                              ,506,,544,
158,CK504,Nutritional Sciences                              ,555,554*,566,
159,CK505,Food Science                                      ,463,,489,
160,CK600,Engineering                                       ,510,509*,555,
161,CK606,Architecture - Offered jointly by UCC and CIT     ,543,,565,
162,CK701,Medicine (Undergraduate Entry - HPAT required)    ,#738,#737*,743,#
163,CK702,Dentistry                                         ,625*,625*,625,
164,CK703,Pharmacy                                          ,613*,613*,625,
165,CK704,Occupational Therapy                              ,601*,,602,
166,CK705,Speech and Language Therapy                       ,568,566*,589,
167,CK706,Public Health Sciences                            ,500,,532,
168,CK707,Medical and Health Sciences                       ,578*,,601,
169,CK710,General Nursing                                   ,498*,497*,519,
170,CK712,Children`s and General Nursing (Integrated)       ,565,,578,
171,CK720,Mental Health Nursing                             ,455,452,467,
172,CK730,Intellectual Disability Nursing                   ,431,,451,
173,CK740,Midwifery                                         ,509*,,543,
174,CK791,Medicine  - Graduate Entry (GAMSAT required)      ,#60*,#60*,61,#
175,AC120,International Business                            ,294,294,352,
176,AC137,Liberal Arts                                      ,271,270,334,
177,CT125,Computing and IT                                  ,242,242,334,
178,CT325,Business                                          ,253,253,337,
179,CM001,Education - Primary Teaching                      ,508,,518,
180,CM002,Education - Primary Teaching - Gaeltacht Applicant,#462,,506,#
181,CM003,Oideachas – Bunmhúinteoireacht Trí Mheán na Gaeilg,#513,,546,#
182,CM004,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilg,#480,,618,#
183,CM010,Education Studies                                 ,382,327,440,
184,CM020,Early Childhood Education                         ,317,,377,
185,DB500,Computing                                         ,234,234,333,
186,DB501,Computing (Cloud Computing)                       ,,178,309,
187,DB502,Computing (Data Analytics and Big Data)           ,267,233,351,
188,DB503,Computing (Software Development)                  ,,,0,
189,DB504,Computing (Web and Mobile Technology)             ,,,0,
190,DB510,Audio Production and Music Project Management     ,217,217,317,
191,DB512,Business Studies                                  ,243,210,347,
192,DB514,Business Studies (Law)                            ,239,225,346,
193,DB515,Business Studies (Human Resource Management)      ,242,217,318,
194,DB517,Marketing (Event Management)                      ,233,225,336,
195,DB518,Marketing (Digital Media)                         ,307,209,354,
196,DB521,Accounting and Finance                            ,243,228,379,
197,DB524,Business (Information Systems)                    ,247,239,327,
198,DB525,Marketing (Digital Media and Cloud Computing)     ,288,288,337,
199,DB526,Business (Cloud Computing)                        ,244,244,327,
200,DB527,Applied Social Care                               ,254,219,308,
201,DB531,Marketing                                         ,288,176,368,
202,DB562,Psychology                                        ,244,233,342,
203,DB566,Social Science                                    ,262,228,319,
204,DB567,Film and Creative Media                           ,245,213,298,
205,DB568,Law                                               ,254,228,347,
206,DB569,Business (Psychology)                             ,240,240,338,
207,DC001,Education - Early Childhood Education             ,445,,474,
208,DC002,Education - Primary Teaching                      ,518*,,543,
209,DC003,Education - Primary Teaching - Gaeltacht Applicant,#489,,509,#
210,DC004,Education - Primary Teaching (Church of Ireland Ce,#451,,,#
211,DC009,Arts (Joint Honours) - Humanities                 ,356,,431,
212,DC010,Post Primary Teacher Education - Religious Educati,384,,441,
213,DC011,Post Primary Teacher Education - Religious Educati,409,,455,
214,DC012,Post Primary Teacher Education - Religious Educati,409,,451,#
215,DC013,Post Primary Teacher Ed - Gaeilge with French/Germ,413,,510,
216,DC014,BA in Jazz and Contemporary Music Performance (aud,#311,,634,#
217,DC110,Business Studies International                    ,498,,526,#
218,DC111,Business Studies                                  ,511,,532,
219,DC112,Global Business (France)                          ,542*,,564,
220,DC113,Global Business (Germany)                         ,484,,529,
221,DC114,Global Business (Spain)                           ,544,,562,
222,DC115,Accounting and Finance                            ,544,,578,
223,DC116,Global Business (USA)                             ,613*,,625,
224,DC117,Aviation Management / Aviation Management with Pil,484,,520,
225,DC118,Gná agus Gaeilge / Business and Irish             ,368,,419,
226,DC119,Global Business (Canada)                          ,601,,601,
227,DC120,Computing for Business                            ,403,402,440,
228,DC121,Computer Science                                  ,475,,498,
229,DC123,Data Science                                      ,501,,542,
230,DC126,Actuarial Mathematics                             ,577*,,601,
231,DC127,Common Entry into Actuarial and Financial Mathemat,541,,566,
232,DC131,Communication Studies                             ,421,,479,
233,DC132,Journalism                                        ,452,,487,
234,DC133,Multimedia                                        ,435,,473,
235,DC155,Applied Language and Translation Studies          ,427,,476,
236,DC161,Analytical Science                                ,498,,521,
237,DC162,Chemical and Pharmaceutical Sciences              ,531*,,543,
238,DC163,Chemical Sciences General Entry (Undenominated Ent,466*,,510,
239,DC166,Environmental Science and Technology              ,423*,,466,
240,DC168,Genetics and Cell Biology                         ,543*,,555,
241,DC175,Physics General Entry (options)                   ,400,,479,
242,DC180,Biological Sciences General Entry (Undenominated E,530,,543,
243,DC181,Biotechnology                                     ,530,,544,
244,DC190,Electronic and Computer Engineering (with choice o,488,,532,
245,DC193,Mechatronic Engineering                           ,490,,532,
246,DC194,Sustainable Systems and Energy                    ,476,,509,
247,DC195,Mechanical and Manufacturing Engineering          ,500,,521,
248,DC197,Biomedical Engineering                            ,510,,543,
249,DC200,Common Entry into Engineering (Undenominated Entry,511,510,543,
250,DC202,Sport Science and Health                          ,511,,532,
251,DC203,Science Education                                 ,462,,509,
252,DC204,Athletic Therapy and Training                     ,558,,578,
253,DC205,Physical Education with Biology                   ,565,,578,
254,DC206,Physical Education with Mathematics               ,521,,544,
255,DC207,Psychology and Mathematics                        ,521,,543,
256,DC208,Psychology                                        ,565,,577,
257,DC209,Health and Society                                ,477,,509,
258,DC210,Psychology and Disruptive Technologies            ,506,,532,
259,DC215,General Nursing                                   ,456*,,485,
260,DC216,Mental Health Nursing                             ,420,,440,
261,DC217,Intellectual Disability Nursing                   ,382,,402,
262,DC218,Children`s and General Nursing (Integrated)       ,521*,,554,
263,DC230,Economics  Politics and Law                       ,431,,468,
264,DC231,International Relations                           ,398,,458,
265,DC232,Law and Society (BCL)                             ,469,,511,
266,DC235,Education and Training - Daytime and Flexible Deli,302,,370,
267,DC238,Social Sciences and Cultural Innovation           ,387,,440,
268,DC240,Marketing  Innovation and Technology              ,499,,532,
269,DC241,Digital Business and Innovation                   ,509,,533,
270,DC291,Arts (Joint Honours) - Media Studies              ,350,,440,
271,DC292,Arts (Joint Honours) - Law                        ,400,,440,
272,DC293,Arts (Joint Honours) - International Languages    ,379,,467,
273,DC294,Climate and Environmental Sustainability          ,475,,489,
274,DC295,Arts (Joint Honours) - Politics                   ,349,,409,
275,DL822,Arts Management                                   ,254,,356,
276,DL823,Business Management                               ,220,,318,
277,DL825,Applied Psychology                                ,418,413,462,
278,DL826,Graphic Design                                    ,#591,,824,#
279,DL827,Art                                               ,#574,,906,#
280,DL832,Animation                                         ,#989,,1098,#
281,DL833,Photography and Visual Media                      ,#671,#671,877,#
282,DL836,Creative Computing                                ,235,,339,
283,DL837,New Media Studies                                 ,298,293,359,
284,DL838,Creative Music Production                         ,#713,,979,#
285,DL839,Interaction and User Experience Design            ,#757,,1087,#
286,DL840,Digital Marketing                                 ,210,,347,
287,DL841,English and Equality Studies                      ,277,277,357,
288,DL843,Film                                              ,#987,#874,1000,#
289,DL844,Television                                        ,#566,,947,#
290,DL845,Design for Film (degree options)                  ,#628,,900,#
291,GC200,Business                                          ,269,242,377,
292,GC201,Accounting and Finance                            ,260,226,270,
293,GC230,Computing Science                                 ,300,289,351,
294,GC300,Business                                          ,264,264,377,
295,GC301,Accounting and Finance                            ,,251,251,
296,GC302,Business - HRM                                    ,377,377,377,
297,GC307,Business (Marketing)                              ,289,270,289,
298,GC400,Business                                          ,250,228,318,
299,GC401,Accounting and Finance                            ,242,242,337,
300,GC402,Business (HRM)                                    ,,,0,
301,GC403,Law                                               ,245,242,319,
302,GC407,Business (Marketing)                              ,264,264,318,
303,GC430,Computing Science                                 ,251,251,325,
304,GC450,Communications and Media Production               ,225,225,321,
305,GC462,Design Communication (portfolio)                  ,#300,,300,#
306,GC489,Interior Architecture (portfolio)                 ,#288,#274,429,#
307,GC494,Fashion Design (portfolio)                        ,#351,,588,#
308,BY001,Business                                          ,210,210,323,
309,ID001,Accounting and Finance                            ,,,0,
310,ID002,Business Studies                                  ,,,340,
311,AD101,First Year Art and Design (Common Entry portfolio),#554,,604,#
312,AD102,Graphic Design and Moving Image Design (portfolio),#538,,625,#
313,AD103,Textile and Surface Design and Jewellery and Objec,#505,,581,#
314,AD202,Education and Design or Fine Art (Second Level Tea,#591,,620,#
315,AD204,Fine Art (portfolio)                              ,#514,,583,#
316,AD211,Fashion Design (portfolio)                        ,#760,#679,679,#
317,AD212,Product Design (portfolio)                        ,#413,,569,#
318,AD215,Visual Culture                                    ,337,300,380,
319,AD217,Illustration (portfolio)                          ,#738,,,#
320,AD222,Interaction Design (portfolio)                    ,#444,,488,#
321,NC003,Computing (Degree Award options)                  ,271,,334,
322,NC005,Human Resource Management                         ,301,,360,
323,NC009,Business                                          ,300,,371,
324,NC010,Psychology                                        ,420,,465,
325,NC020,Marketing Practice                                ,270,,329,
326,NC022,Accounting and Finance                            ,330,,390,
327,NC023,Technology Management (with specialisations)      ,266,,356,
328,NC030,Early Childhood Education and Care                ,251,251,308,
329,RC001,Medicine - Undergraduate Entry (HPAT required)    ,#741,#740*,741,#
330,RC004,Physiotherapy                                     ,589*,589*,589,
331,RC005,Pharmacy                                          ,613*,613,613,
332,RC101,Medicine - Graduate Entry (GAMSAT required)       ,,,66,#
333,NM801,Montessori Education                              ,262,,320,
334,NM802,Psychology                                        ,228,,338,
335,TU801,Sustainable Energy Engineering                    ,235,,329,
336,TU802,Electrical Services and Energy Management         ,309,,359,
337,TU804,Engineering (Common Entry with Award options)     ,270,,361,
338,TU805,Engineering (General Entry)                       ,466,465,499,
339,TU807,Computer Engineering in Mobile Systems            ,274,,339,
340,TU810,Mechatronic Engineering                           ,271,,399,
341,TU811,Product Design                                    ,440,434,479,
342,TU812,Design Technology and Innovation                  ,278,,335,
343,TU814,Sustainable Transport Management                  ,253,253,349,
344,TU828,Mechanical Engineering (General Entry)            ,300,,386,
345,TU829,Electronic Engineering (General Entry)            ,248,248,354,
346,TU831,Architectural Technology                          ,423,,455,
347,TU832,Architecture (Suitability Test and Interview)     ,#644,#638,682,#
348,TU833,Construction Management                           ,396,,429,
349,TU834,Geographic Science                                ,315,,370,
350,TU835,Planning and Environmental Management             ,330,,393,
351,TU836,Property Economics (Valuation Surveying)          ,411,,444,
352,TU837,Quantity Surveying and Construction Economics     ,413,,455,
353,TU838,Sustainable Timber Technology                     ,307,271,385,
354,TU851,Analytical Chemistry (Environmental  Forensic and ,400,,464,
355,TU852,Chemical Sciences with Medicinal Chemistry        ,477,,499,
356,TU854,Science (General Entry)                           ,510,,532,
357,TU855,Science with Nanotechnology                       ,322,,382,
358,TU856,Computer Science                                  ,499,,531,
359,TU857,Computer Science (Infrastructure)                 ,403,,443,
360,TU858,Computer Science (International)                  ,395,,444,
361,TU859,Computing                                         ,251,,336,
362,TU860,Computing (Information Technology)                ,270,,356,
363,TU861,Computing with Language (French/German/Spanish)   ,235,235,370,
364,TU862,Computing with Artificial Intelligence Machine Lea,262,,310,
365,TU863,Digital Forensics and Cyber Security              ,282,,346,
366,TU864,DNA and Forensic Analysis                         ,500,441,465,
367,TU865,Cloud Computing                                   ,235,,308,
368,TU866,Biomedical and Molecular Diagnostics              ,522,,540,
369,TU867,Biomedical Science                                ,576,566*,578,
370,TU868,Clinical Measurement Science                      ,542,,554,
371,TU869,Environmental Health                              ,387,,434,
372,TU870,Human Nutrition and Dietetics                     ,601*,,613,
373,TU871,Optometry                                         ,532,,544,
374,TU872,Public Health Nutrition                           ,487,,521,
375,TU874,Mathematical Sciences                             ,294,294,434,
376,TU875,Pharmaceutical Healthcare                         ,451,,477,
377,TU876,Pharmaceutical Science                            ,445,,474,
378,TU877,Physics Technology                                ,314,314,422,
379,TU878,Physics with Energy and Environment               ,339,,408,
380,TU879,Physics with Medical Physics and Bioengineering   ,346,,430,
381,TU880,Physics with Data Science                         ,412,,532,
382,TU881,Food Innovation                                   ,309,,423,
383,TU882,Nutraceuticals in Health and Nutrition            ,380,,447,
384,TU902,Business (options)                                ,270,,327,
385,TU903,Business and Management                           ,477,,509,
386,TU904,Business and Law                                  ,462,,486,
387,TU905,Economics and Finance                             ,460,,488,
388,TU906,Human Resource Management                         ,386,377,412,
389,TU907,Logistics and Supply Chain Management             ,300,,367,
390,TU910,Accounting                                        ,420,,462,
391,TU912,Business Analytics                                ,331,311,367,
392,TU914,Business Computing                                ,322,,377,
393,TU917,Law (LLB ) with a Language                        ,356,,451,
394,TU918,Law (LLB)                                         ,463,,499,
395,TU919,Advertising and Marketing Communications          ,219,,327,
396,TU920,Digital Marketing                                 ,270,,339,
397,TU921,Digital Marketing Technologies                    ,230,,298,
398,TU922,Marketing                                         ,412,,446,
399,TU924,E-Commerce in Retailing                           ,307,,380,
400,TU925,Retail and Services Management                    ,307,,368,
401,TU932,Business (options)                                ,211,,337,
402,TU933,Accounting and Finance (campus options)           ,251,,346,
403,TU935,Sports Management and Coaching                    ,300,,368,
404,TU936,Sports Science and Health                         ,484,,498,
405,TU941,Botanical Cuisine                                 ,311,,380,
406,TU942,Culinary Arts                                     ,252,,348,
407,TU943,Culinary Entrepreneurship                         ,261,,387,
408,TU944,Culinary Science                                  ,336,,393,
409,TU951,International Hospitality and Tourism Management  ,244,,316,
410,TU952,International Hospitality Management              ,309,,398,
411,TU953,Tourism and Digital Marketing                     ,308,,366,
412,TU954,Event Management                                  ,326,,402,
413,TU955,Sports and Leisure Management                     ,275,,349,
414,TU961,Commercial Modern Music (BIMM - assessment/auditio,#536,#536,881,#
415,TU962,Drama (Performance  audition)                     ,#448,,551,#
416,TU963,Music (audition)                                  ,#364,,561,#
417,TU965,International Business and Languages              ,357,,442,
418,TU967,Languages and International Tourism               ,298,,390,
419,TU973,Design - Visual Communication (portfolio)         ,#700,,953,#
420,TU974,Fine Art (portfolio)                              ,#549,,704,#
421,TU975,Interior Design (portfolio)                       ,#544,,919,#
422,TU976,Photography (portfolio)                           ,#700,,952,#
423,TU978,Creative Industries and Visual Culture            ,299,,440,
424,TU981,Creative Digital Media                            ,280,,347,
425,TU982,Media Production and Digital Arts                 ,369,,412,
426,TU983,Film and Broadcasting                             ,462,453,496,
427,TU984,Game Design                                       ,414,,455,
428,TU985,Journalism                                        ,367,,409,
429,TU989,Early Childhood Care and Education (campus options,270,,337,
430,TU991,Applied Social Studies in Social Care             ,326,,356,
431,TU992,Community Development and Youth Work              ,251,,311,
432,TU995,Early Childhood Education                         ,378,,412,
433,TU996,Social Care                                       ,407,,440,
434,TU997,Applied Social Care                               ,320,,368,
435,TR002,Music                                             ,508,477*,513,#
436,TR003,History                                           ,552,543*,558,
437,TR004,Law                                               ,590*,589,601,
438,TR005,Philosophy                                        ,510,497,510,
439,TR006,Psychology                                        ,601*,590,602,
440,TR007,Clinical Speech and Language Studies              ,564*,,577,
441,TR009,Music Education                                   ,#496,#486,530,#
442,TR015,Philosophy  Political Science  Economics and Socio,613*,613*,625,
443,TR016,Deaf Studies                                      ,389,,440,
444,TR018,Law and French                                    ,602*,602,613,
445,TR019,Law and German                                    ,577,567,588,
446,TR021,Classics  Ancient History and Archaeology         ,467,462,501,
447,TR022,Early and Modern Irish                            ,377,,473,
448,TR023,English Studies                                   ,546,541*,555,
449,TR024,European Studies                                  ,566,,589,
450,TR025,Drama and Theatre Studies                         ,#543,#519,552,#
451,TR028,Ancient and Medieval History and Culture          ,498,463,474,
452,TR031,Mathematics                                       ,579,578,613,
453,TR032,Engineering                                       ,556,555,581,
454,TR033,Computer Science                                  ,566*,549,578,
455,TR034,Management Science and Information Systems Studies,625*,625*,625,
456,TR035,Theoretical Physics                               ,590,589*,613,
457,TR038,Engineering with Management                       ,589*,589*,613,
458,TR039,Computer Science  Linguistics and a Language      ,443,,531,
459,TR040,Middle Eastern and European Languages and Cultures,520,499,531,
460,TR041,Religion                                          ,417,,476,
461,TR042,Film                                              ,531,522,532,
462,TR043,History of Art and Architecture                   ,498,486,519,
463,TR051,Medicine (HPAT required)                          ,#743*,#743*,751,#
464,TR052,Dental Science                                    ,625*,625*,625,
465,TR053,Physiotherapy                                     ,590*,,601,
466,TR054,Occupational Therapy                              ,578*,577*,589,
467,TR055,Radiation Therapy                                 ,577,566,577,
468,TR056,Human Health and Disease                          ,601*,,613,
469,TR060,Biological and Biomedical Sciences                ,578*,577*,590,
470,TR061,Chemical Sciences                                 ,558,554*,564,
471,TR062,Geography and Geoscience                          ,495,,531,
472,TR063,Physical Sciences                                 ,554,543,566,
473,TR064,Environmental Science and Engineering             ,555,,578,
474,TR072,Pharmacy                                          ,613*,613*,625,
475,TR080,Global Business                                   ,613*,,625,
476,TR081,Business  Economic and Social Studies (BESS)      ,577,567*,589,
477,TR084,Social Studies (Social Work)                      ,497,487*,508,
478,TR085,Business Studies and French                       ,564,,577,
479,TR086,Business Studies and German                       ,530,,533,
480,TR087,Business Studies and Russian                      ,487,,521,
481,TR089,Business Studies and Polish                       ,391,,432,
482,TR090,Business Studies and Spanish                      ,566,,589,
483,TR091,General Nursing (Meath and St James`s)            ,462,456*,487,
484,TR093,General Nursing (Adelaide School of Nursing)      ,#473,,484,#
485,TR095,Mental Health Nursing                             ,442,,455,
486,TR097,Intellectual Disability Nursing                   ,412,410,419,
487,TR911,Children`s and General Nursing (Integrated)       ,531*,,544,
488,TR913,Midwifery                                         ,521,,543,
489,DN100,Architecture                                      ,555,,577,
490,DN120,Landscape Architecture                            ,463,435,484,
491,DN130,City Planning and Environmental Policy            ,445,424,474,
492,DN150,Engineering (Common Entry)                        ,565*,,601,
493,DN200,Science (options)                                 ,577,567,589,
494,DN201,Computer Science (Common Entry)                   ,554,549,558,
495,DN230,Actuarial and Financial Studies                   ,613*,613*,625,
496,DN240,Sustainability                                    ,510,,532,
497,DN250,Agricultural Science (options)                    ,454,444,489,
498,DN261,Food Science                                      ,531,,544,
499,DN262,Human Nutrition                                   ,566,,577,
500,DN300,Veterinary Medicine - Undergraduate Entry         ,#601*,,613,#
501,DN301,Veterinary Medicine - Graduate Entry (GAMSAT requi,,,,#
502,DN310,Veterinary Nursing                                ,521,509,522,
503,DN400,Medicine - Undergraduate Entry (HPAT required)    ,#743*,,751,#
504,DN401,Medicine - Graduate Entry (GAMSAT required)       ,#61*,,63,#
505,DN410,Radiography                                       ,566*,566*,578,
506,DN411,Radiography - Graduate Entry                      ,#,,,
507,DN420,Physiotherapy                                     ,601*,601*,613,
508,DN425,Health and Performance Science                    ,544,543,555,
509,DN430,Sport and Exercise Management                     ,484,476,499,
510,DN440,Biomedical  Health and Life Sciences              ,613*,613*,618,
